Date,Gold_USD,BTC_USD,Gold_ret,BTC_ret
2020-02-29,1597.1,8545.45,0.023074268442413448,-0.08914600421596752
2020-03-31,1591.93,6423.61,-0.0032423680738835614,-0.2854187125931631
2020-04-30,1683.17,8637.56,0.055731803602259156,0.29613987056063884
2020-05-31,1715.91,9450.47,0.01926463192940009,0.08994434019454545
2020-06-30,1732.22,9136.47,0.009460270721104003,-0.033790379294581285
2020-07-31,1846.51,11352.72,0.06389354808804182,0.21718326636957208
2020-08-31,1968.63,11657.81,0.06404049840613357,0.026518978875698096
2020-09-30,1921.92,10779.42,-0.024013182980407777,-0.0783375809754272
2020-10-31,1900.27,13803.41,-0.011328705033217368,0.24727690239401845
2020-11-30,1866.3,19686.87,-0.018038120132610302,0.3550362529859399
2020-12-31,1858.42,28972.4,-0.00423119684503348,0.3863917365977301
2021-01-31,1866.98,33143.22,0.004595487767504736,0.13449451815535696
2021-02-28,1808.17,45261.03,-0.03200686803097863,0.3116082265211979
2021-03-31,1718.23,58793.8,-0.05102059289634919,0.2615900098201678
2021-04-30,1760.04,57757.97,0.024041844862437323,-0.017775058630700613
2021-05-31,1850.26,37290.83,0.04998963369135012,-0.43751389661655793
2021-06-30,1834.57,35056.39,-0.00851604813454454,-0.06178954407275583
2021-07-31,1807.84,41474.72,-0.01467735914253332,0.16812617715058842
2021-08-31,1785.28,47159.26,-0.012557496803772494,0.12844629928341078
2021-09-30,1775.14,43829.34,-0.005695972618541489,-0.07322692814426546
2021-10-31,1776.85,61349.75,0.0009628406229218456,0.3362876400309798
2021-11-30,1821.76,56975.35,0.024960933101172422,-0.07397237801091805
2021-12-31,1790.43,46197.31,-0.017347252313265393,-0.2096971468737543
2022-01-31,1816.02,38494.66,0.01419147886700145,-0.18240204090919754
2022-02-28,1856.3,43189.46,0.021937965898724876,0.11507695362513637
2022-03-31,1947.83,45522.65,0.04813067318530262,0.05261352029203792
2022-04-30,1936.86,37650.13,-0.005647827322143861,-0.18987359719710994
2022-05-31,1848.5,31782.16,-0.04669360570165004,-0.16943128102127147
2022-06-30,1836.57,19908.49,-0.006474797861873327,-0.46775885215969204
2022-07-31,1732.74,23308.14,-0.05819573090636343,0.15765638186993236
2022-08-31,1764.56,20050.28,0.018197396895883067,-0.15055953704180602
2022-09-30,1680.78,19425.63,-0.04864339614000546,-0.0316497905821258
2022-10-31,1664.45,20492.56,-0.009763232851194736,0.05346856528099053
2022-11-30,1725.07,17162.35,0.03577289083913815,-0.17734386237075128
2022-12-31,1797.55,16531.31,0.0411569972677448,-0.03746187252887445
2023-01-31,1897.71,23129.7,0.05422326946284173,0.3358613474490344
2023-02-28,1854.54,23137.23,-0.023011209229715668,0.0003255024729966749
2023-03-31,1912.73,28474.62,0.030894854054631438,0.20757015574107207
2023-04-30,1999.77,29236.81,0.04450063302130225,0.026415367598138673
2023-05-31,1992.13,27220.17,-0.00382775586976436,-0.07147028919122356
2023-06-30,1942.9,30471.06,-0.025022715810243845,0.11281913809728827
2023-07-31,1951.02,29231.47,0.004170610474756309,-0.04153151205315453
2023-08-31,1918.7,25937.29,-0.01670443935976973,-0.11956416708314066
2023-09-30,1915.95,26964.27,-0.0014342902071575736,0.03883095471959486
2023-10-31,1916.25,34657.73,0.00015656802912822343,0.25100813248637266
2023-11-30,1984.11,37729.58,0.034800299670243895,0.0849236134102771
2023-12-31,2026.18,42280.14,0.02098179602068395,0.11387307006598846
2024-01-31,2034.04,42555.08,0.0038717162215684553,0.006481764592427552
2024-02-29,2023.24,61179.58,-0.00532377627786218,0.36301423686337486
2024-03-31,2158.01,71312.91,0.06448631390698178,0.15326390323781425
2024-04-30,2331.45,60633.97,0.07730389086937617,-0.16222207987273407
2024-05-31,2351.13,67482.25,0.008405672033192424,0.10700930325898383
2024-06-30,2326.44,62685.88,-0.010556861491092029,-0.0737283774190498
2024-07-31,2398.2,64617.83,0.030379253806215978,0.030354155982156072
2024-08-31,2470.15,58989.17,0.029560421577714102,-0.0911365111631941
2024-09-30,2570.55,63314.81,0.03984100625192166,0.07076539929478542
2024-10-31,2690.08,70207.54,0.045451049155650125,0.10333644564201272
2024-11-30,2651.13,96473.51,-0.01458496874509052,0.3178127502173549
2024-12-31,2648.01,93391.98,-0.0011775497007144864,-0.032462988578457086
2025-01-31,2709.69,102412.41,0.023025822701855603,0.09220242235826426
2025-02-28,2894.73,84322.57,0.06605760522234139,-0.19435833321286466
2025-03-31,2983.25,82539.52,0.03012146784075398,-0.021372354510429403
2025-04-30,3217.64,94186.14,0.0756348613174076,0.13199582805384402
2025-05-31,3309.49,104696.46,0.02814592738276822,0.10579226941751685
2025-06-30,3352.66,107147.75,0.01295996164499158,0.02314341668238029
2025-07-31,3340.15,116009.4,-0.0037383444529766052,0.07946249920698811
