file,rows,start,end,sha256
gold_monthly_clean_2020_2025.csv,67,2020-01-31,2025-07-31,35899e0d35ee3e118973b63f6bef5bd79f42e1b84603ee639c89bafa0f3d6604
btc_monthly_close_2020_2025.csv,70,2020-01-31,2025-10-31,e0d319e2e23b0de3829f355d5e813298e2b6ee9478d6e4f6af9e2f89dd096682
merged_gold_btc_monthly_2020_2025.csv,67,2020-01-31,2025-07-31,3f4fad3ea2a563dc999aba2bc4340747dd134df0c92354d9d48adc6e5db5cffe
monthly_returns_gold_btc_2020_2025.csv,66,2020-02-29,2025-07-31,b794215447d1d373405ed41e75743fafb13ed072c0ff8fa31b1680981276829e
